Transect,Site,Transectnum,Date,Condition,transect area,spp,max diameter,,
G1,Kahekili,1,5/31/2011,good,10,pc,12,,
G1,Kahekili,1,5/31/2011,good,10,pc,14,,
G1,Kahekili,1,5/31/2011,good,10,pc,6,,
G1,Kahekili,1,5/31/2011,good,10,pc,7,,
G1,Kahekili,1,5/31/2011,good,10,pc,25,,
G1,Kahekili,1,5/31/2011,good,10,pc,23,,
G1,Kahekili,1,5/31/2011,good,10,pc,23,,
G1,Kahekili,1,5/31/2011,good,10,pc,20,,
G1,Kahekili,1,5/31/2011,good,10,pc,9,,
G1,Kahekili,1,5/31/2011,good,10,pc,22,,
G1,Kahekili,1,5/31/2011,good,10,pc,4,,
G1,Kahekili,1,5/31/2011,good,10,pc,24,,
G1,Kahekili,1,5/31/2011,good,10,pc,20,,
G1,Kahekili,1,5/31/2011,good,10,pc,45,,
G1,Kahekili,1,5/31/2011,good,10,pc,8,,
G1,Kahekili,1,5/31/2011,good,10,pc,7,,
G1,Kahekili,1,5/31/2011,good,10,pc,12,,
G1,Kahekili,1,5/31/2011,good,10,pc,4,,
G1,Kahekili,1,5/31/2011,good,10,pc,23,,
G1,Kahekili,1,5/31/2011,good,10,pc,25,,
G1,Kahekili,1,5/31/2011,good,10,pc,12,,
G1,Kahekili,1,5/31/2011,good,10,pc,18,,
G1,Kahekili,1,5/31/2011,good,10,pc,12,,
G1,Kahekili,1,5/31/2011,good,10,pc,23,,
G1,Kahekili,1,5/31/2011,good,10,mc,10,,
G1,Kahekili,1,5/31/2011,good,10,mc,8,,
G1,Kahekili,1,5/31/2011,good,10,mc,18,,
G1,Kahekili,1,5/31/2011,good,10,mc,5,,
G1,Kahekili,1,5/31/2011,good,10,mc,4,,
G1,Kahekili,1,5/31/2011,good,10,mc,3,,
G1,Kahekili,1,5/31/2011,good,10,mc,2,,
G1,Kahekili,1,5/31/2011,good,10,mc,18,,
G1,Kahekili,1,5/31/2011,good,10,mc,11,,
G1,Kahekili,1,5/31/2011,good,10,mc,19,,
G1,Kahekili,1,5/31/2011,good,10,mc,16,,
G1,Kahekili,1,5/31/2011,good,10,mc,5,,
G1,Kahekili,1,5/31/2011,good,10,mc,4,,
G1,Kahekili,1,5/31/2011,good,10,mc,8,,
G1,Kahekili,1,5/31/2011,good,10,pl,3,,
G1,Kahekili,1,5/31/2011,good,10,pl,6,,
G1,Kahekili,1,5/31/2011,good,10,pl,7,,
G1,Kahekili,1,5/31/2011,good,10,pl,3,,
G1,Kahekili,1,5/31/2011,good,10,pl,8,,
G1,Kahekili,1,5/31/2011,good,10,pl,40,,
G1,Kahekili,1,5/31/2011,good,10,pl,5,,
