,Site,Depth..m.,Taxon,year,cover,trans,utrans,fyear,pcover,asinsqrt,Site1
1,Honolua North,3,Montipora capitata,1999,1.568969002,Honolua North 3,Honolua.N,1999,0.01568969,0.125588372,Honolua
61,Honolua North,3,Montipora capitata,2000,1.444761904,Honolua North 3,Honolua.N,2000,0.014447619,0.120489577,Honolua
121,Honolua North,3,Montipora capitata,2001,2.253935586,Honolua North 3,Honolua.N,2001,0.022539356,0.150700904,Honolua
181,Honolua North,3,Montipora capitata,2002,2.603921568,Honolua North 3,Honolua.N,2002,0.026039216,0.162075358,Honolua
241,Honolua North,3,Montipora capitata,2003,1.045714286,Honolua North 3,Honolua.N,2003,0.010457143,0.102439241,Honolua
301,Honolua North,3,Montipora capitata,2004,1.574545455,Honolua North 3,Honolua.N,2004,0.015745455,0.125812541,Honolua
361,Honolua North,3,Montipora capitata,2005,1.12,Honolua North 3,Honolua.N,2005,0.0112,0.106028604,Honolua
421,Honolua North,3,Montipora capitata,2006,1.2,Honolua North 3,Honolua.N,2006,0.012,0.109764792,Honolua
481,Honolua North,3,Montipora capitata,2007,1.017575758,Honolua North 3,Honolua.N,2007,0.010175758,0.101046828,Honolua
541,Honolua North,3,Montipora capitata,2008,2.122222222,Honolua North 3,Honolua.N,2008,0.021222222,0.146198743,Honolua
601,Honolua North,3,Montipora capitata,2009,1.224149184,Honolua North 3,Honolua.N,2009,0.012241492,0.110868264,Honolua
661,Honolua North,3,Montipora capitata,2010,1.906060606,Honolua North 3,Honolua.N,2010,0.019060606,0.138502544,Honolua
721,Honolua North,3,Montipora capitata,2011,1.018787879,Honolua North 3,Honolua.N,2011,0.010187879,0.101107199,Honolua
781,Honolua North,3,Montipora capitata,2012,1.648282828,Honolua North 3,Honolua.N,2012,0.016482828,0.128740802,Honolua
7,Honolua South,3,Montipora capitata,1999,2.18384999,Honolua South 3,Honolua.S,1999,0.0218385,0.148321783,Honolua
67,Honolua South,3,Montipora capitata,2000,3.133333334,Honolua South 3,Honolua.S,2000,0.031333333,0.17794992,Honolua
127,Honolua South,3,Montipora capitata,2001,2.844051796,Honolua South 3,Honolua.S,2001,0.028440518,0.169452958,Honolua
187,Honolua South,3,Montipora capitata,2002,2.825,Honolua South 3,Honolua.S,2002,0.02825,0.16887896,Honolua
247,Honolua South,3,Montipora capitata,2003,2.026666667,Honolua South 3,Honolua.S,2003,0.020266667,0.142846346,Honolua
307,Honolua South,3,Montipora capitata,2004,2.869090909,Honolua South 3,Honolua.S,2004,0.028690909,0.170204513,Honolua
367,Honolua South,3,Montipora capitata,2005,2.56,Honolua South 3,Honolua.S,2005,0.0256,0.160690653,Honolua
427,Honolua South,3,Montipora capitata,2006,1.68,Honolua South 3,Honolua.S,2006,0.0168,0.129980507,Honolua
487,Honolua South,3,Montipora capitata,2007,0.96,Honolua South 3,Honolua.S,2007,0.0096,0.098137038,Honolua
547,Honolua South,3,Montipora capitata,2008,1.444444444,Honolua South 3,Honolua.S,2008,0.014444444,0.120476274,Honolua
607,Honolua South,3,Montipora capitata,2009,0.380792541,Honolua South 3,Honolua.S,2009,0.003807925,0.061747621,Honolua
667,Honolua South,3,Montipora capitata,2010,0.352727273,Honolua South 3,Honolua.S,2010,0.003527273,0.059425817,Honolua
727,Honolua South,3,Montipora capitata,2011,0.145454545,Honolua South 3,Honolua.S,2011,0.001454545,0.038147755,Honolua
787,Honolua South,3,Montipora capitata,2012,0.556363636,Honolua South 3,Honolua.S,2012,0.005563636,0.074659126,Honolua
13,Kahekili,3,Montipora capitata,1999,4.926244322,Kahekili 3,Kahekili.03m,1999,0.049262443,0.223815378,Kahekili
19,Kahekili,7,Montipora capitata,1999,3.015229672,Kahekili 7,Kahekili.07m,1999,0.030152297,0.174528853,Kahekili
133,Kahekili,3,Montipora capitata,2001,2.693333334,Kahekili 3,Kahekili.03m,2001,0.026933333,0.164859545,Kahekili
139,Kahekili,7,Montipora capitata,2001,2.64,Kahekili 7,Kahekili.07m,2001,0.0264,0.163204313,Kahekili
193,Kahekili,3,Montipora capitata,2002,3.32004902,Kahekili 3,Kahekili.03m,2002,0.03320049,0.183233628,Kahekili
199,Kahekili,7,Montipora capitata,2002,2.915833334,Kahekili 7,Kahekili.07m,2002,0.029158333,0.171599032,Kahekili
253,Kahekili,3,Montipora capitata,2003,3.013333333,Kahekili 3,Kahekili.03m,2003,0.030133333,0.174473398,Kahekili
259,Kahekili,7,Montipora capitata,2003,3.84,Kahekili 7,Kahekili.07m,2003,0.0384,0.197235498,Kahekili
313,Kahekili,3,Montipora capitata,2004,4.26969697,Kahekili 3,Kahekili.03m,2004,0.04269697,0.208131873,Kahekili
319,Kahekili,7,Montipora capitata,2004,4.218787879,Kahekili 7,Kahekili.07m,2004,0.042187879,0.206869218,Kahekili
