Site,Depth (m),Taxon,year,cover
Honolua North,3,Montipora capitata,1999,1.568969002
Honolua North,3,Montipora flabellata,1999,1.253285804
Honolua North,3,Montipora patula,1999,1.198192482
Honolua North,3,Pocillopora meandrina,1999,0.69833187
Honolua North,3,Porites compressa,1999,0.80123753
Honolua North,3,Porites lobata,1999,8.59006723
Honolua South,3,Montipora capitata,1999,2.18384999
Honolua South,3,Montipora flabellata,1999,9.658186994
Honolua South,3,Montipora patula,1999,2.891009788
Honolua South,3,Pocillopora meandrina,1999,1.615114812
Honolua South,3,Porites compressa,1999,0.192229438
Honolua South,3,Porites lobata,1999,3.552528704
Kahekili,3,Montipora capitata,1999,4.926244322
Kahekili,3,Montipora flabellata,1999,0.19933257
Kahekili,3,Montipora patula,1999,2.370443602
Kahekili,3,Pocillopora meandrina,1999,1.966873764
Kahekili,3,Porites compressa,1999,11.02485791
Kahekili,3,Porites lobata,1999,22.83383948
Kahekili,7,Montipora capitata,1999,3.015229672
Kahekili,7,Montipora flabellata,1999,0
Kahekili,7,Montipora patula,1999,0.293239026
Kahekili,7,Pocillopora meandrina,1999,0.837534056
Kahekili,7,Porites compressa,1999,7.187133484
Kahekili,7,Porites lobata,1999,18.82374177
Molokini,8,Montipora capitata,1999,
Molokini,8,Montipora flabellata,1999,
Molokini,8,Montipora patula,1999,
Molokini,8,Pocillopora meandrina,1999,
Molokini,8,Porites compressa,1999,
Molokini,8,Porites lobata,1999,
Molokini,13,Montipora capitata,1999,
Molokini,13,Montipora flabellata,1999,
Molokini,13,Montipora patula,1999,
Molokini,13,Pocillopora meandrina,1999,
Molokini,13,Porites compressa,1999,
Molokini,13,Porites lobata,1999,
Olowalu,3,Montipora capitata,1999,6.514052902
Olowalu,3,Montipora flabellata,1999,0
Olowalu,3,Montipora patula,1999,2.514531426
Olowalu,3,Pocillopora meandrina,1999,0.753944912
Olowalu,3,Porites compressa,1999,4.037815126
Olowalu,3,Porites lobata,1999,6.065904344
Olowalu,7,Montipora capitata,1999,21.04755522
Olowalu,7,Montipora flabellata,1999,0
Olowalu,7,Montipora patula,1999,15.12653501
Olowalu,7,Pocillopora meandrina,1999,1.697457218
Olowalu,7,Porites compressa,1999,1.605014942
Olowalu,7,Porites lobata,1999,15.50431635
Papaula Pt.,10,Montipora capitata,1999,8.009122808
Papaula Pt.,10,Montipora flabellata,1999,28.25353802
Papaula Pt.,10,Montipora patula,1999,4.408274854
Papaula Pt.,10,Pocillopora meandrina,1999,0.419649122
Papaula Pt.,10,Porites compressa,1999,0.011111112
Papaula Pt.,10,Porites lobata,1999,8.353011696
Puamana,3,Montipora capitata,1999,0.235643324
Puamana,3,Montipora flabellata,1999,0
Puamana,3,Montipora patula,1999,0.596477494
Puamana,3,Pocillopora meandrina,1999,8.570506654
Puamana,3,Porites compressa,1999,0.210064556
Puamana,3,Porites lobata,1999,5.115292622
Honolua North,3,Montipora capitata,2000,1.444761904
Honolua North,3,Montipora flabellata,2000,0.866666666
Honolua North,3,Montipora patula,2000,1.772380952
Honolua North,3,Pocillopora meandrina,2000,0.506666666
Honolua North,3,Porites compressa,2000,0.608571428
Honolua North,3,Porites lobata,2000,7.908571428
Honolua South,3,Montipora capitata,2000,3.133333334
Honolua South,3,Montipora flabellata,2000,9.493333334
Honolua South,3,Montipora patula,2000,4.106666666
Honolua South,3,Pocillopora meandrina,2000,1.586666666
Honolua South,3,Porites compressa,2000,0.373333334
Honolua South,3,Porites lobata,2000,3.573333334
Kahekili,3,Montipora capitata,2000,
Kahekili,3,Montipora flabellata,2000,
Kahekili,3,Montipora patula,2000,
Kahekili,3,Pocillopora meandrina,2000,
Kahekili,3,Porites compressa,2000,
Kahekili,3,Porites lobata,2000,
Kahekili,7,Montipora capitata,2000,
Kahekili,7,Montipora flabellata,2000,
Kahekili,7,Montipora patula,2000,
Kahekili,7,Pocillopora meandrina,2000,
Kahekili,7,Porites compressa,2000,
Kahekili,7,Porites lobata,2000,
Molokini,8,Montipora capitata,2000,16.75697712
Molokini,8,Montipora flabellata,2000,0.022222222
Molokini,8,Montipora patula,2000,13.43661765
Molokini,8,Pocillopora meandrina,2000,1.169883286
Molokini,8,Porites compressa,2000,6.13181606
Molokini,8,Porites lobata,2000,22.92927638
Molokini,13,Montipora capitata,2000,43.74444444
Molokini,13,Montipora flabellata,2000,0
Molokini,13,Montipora patula,2000,32.94444444
Molokini,13,Pocillopora meandrina,2000,0.888888888
Molokini,13,Porites compressa,2000,5.4
Molokini,13,Porites lobata,2000,4.5
Olowalu,3,Montipora capitata,2000,5.898333334
Olowalu,3,Montipora flabellata,2000,0
Olowalu,3,Montipora patula,2000,2.848333334
Olowalu,3,Pocillopora meandrina,2000,1.798333334
Olowalu,3,Porites compressa,2000,3.8125
Olowalu,3,Porites lobata,2000,7.053333334
Olowalu,7,Montipora capitata,2000,20.34921568
Olowalu,7,Montipora flabellata,2000,0
Olowalu,7,Montipora patula,2000,15.45658497
Olowalu,7,Pocillopora meandrina,2000,1.669607844
Olowalu,7,Porites compressa,2000,1.273202614
Olowalu,7,Porites lobata,2000,14.42895425
Papaula Pt.,10,Montipora capitata,2000,7.94074074
Papaula Pt.,10,Montipora flabellata,2000,29.12592592
Papaula Pt.,10,Montipora patula,2000,3.422222222
Papaula Pt.,10,Pocillopora meandrina,2000,0.622222222
Papaula Pt.,10,Porites compressa,2000,0.518518518
Papaula Pt.,10,Porites lobata,2000,4.311111112
Puamana,3,Montipora capitata,2000,0.680873016
Puamana,3,Montipora flabellata,2000,0
Puamana,3,Montipora patula,2000,0.991746032
Puamana,3,Pocillopora meandrina,2000,8.330833334
Puamana,3,Porites compressa,2000,0.455396826
Puamana,3,Porites lobata,2000,6.427301588
Honolua North,3,Montipora capitata,2001,2.253935586
Honolua North,3,Montipora flabellata,2001,0.767460374
Honolua North,3,Montipora patula,2001,1.301115758
Honolua North,3,Pocillopora meandrina,2001,0.437834784
Honolua North,3,Porites compressa,2001,0.844271162
Honolua North,3,Porites lobata,2001,6.196911396
Honolua South,3,Montipora capitata,2001,2.844051796
Honolua South,3,Montipora flabellata,2001,9.289005848
Honolua South,3,Montipora patula,2001,2.782372598
Honolua South,3,Pocillopora meandrina,2001,2.238855472
Honolua South,3,Porites compressa,2001,0.307635756
Honolua South,3,Porites lobata,2001,4.043784462
Kahekili,3,Montipora capitata,2001,2.693333334
Kahekili,3,Montipora flabellata,2001,0
Kahekili,3,Montipora patula,2001,2.32
Kahekili,3,Pocillopora meandrina,2001,1
Kahekili,3,Porites compressa,2001,2.76
Kahekili,3,Porites lobata,2001,20.49333334
Kahekili,7,Montipora capitata,2001,2.64
Kahekili,7,Montipora flabellata,2001,0.013333334
Kahekili,7,Montipora patula,2001,0.386666666
Kahekili,7,Pocillopora meandrina,2001,0.893333334
Kahekili,7,Porites compressa,2001,1.68
Kahekili,7,Porites lobata,2001,15.76
Molokini,8,Montipora capitata,2001,14.13333333
Molokini,8,Montipora flabellata,2001,0.026666666
Molokini,8,Montipora patula,2001,15.05333333
Molokini,8,Pocillopora meandrina,2001,1.28
Molokini,8,Porites compressa,2001,4.04
Molokini,8,Porites lobata,2001,18.29333333
Molokini,13,Montipora capitata,2001,38.28
Molokini,13,Montipora flabellata,2001,0
Molokini,13,Montipora patula,2001,30.54666666
Molokini,13,Pocillopora meandrina,2001,0.6
Molokini,13,Porites compressa,2001,1.44
Molokini,13,Porites lobata,2001,5.626666666
Olowalu,3,Montipora capitata,2001,6.386666666
Olowalu,3,Montipora flabellata,2001,0
Olowalu,3,Montipora patula,2001,3
