Label,Site,Transect,Species,Area,Perim.,Major,Minor,Angle
HonolulaN_Transect1_01.tif:mc,HonoluaN,1,M. capitata,4.6,9.9,2.8,2.1,6.9
HonolulaN_Transect1_01.tif:mp,HonoluaN,1,M. capitata,18,21.5,7,3.3,83.6
HonolulaN_Transect1_01.tif:mp-1,HonoluaN,1,M. patula,23.6,33.2,9.1,3.3,40.1
HonolulaN_Transect1_01.tif:pl,HonoluaN,1,P. lobata,176.1,73.4,20.1,11.1,64.2
HonolulaN_Transect1_01.tif:pl-1,HonoluaN,1,P. lobata,22.2,18.2,6.3,4.5,70.2
HonolulaN_Transect1_02.tif:mc,HonoluaN,1,M. capitata,262.1,89.4,33.4,10,6.8
HonolulaN_Transect1_02.tif:mc-1,HonoluaN,1,M. capitata,110.9,41.9,14.4,9.8,176.5
HonolulaN_Transect1_02.tif:mc-2,HonoluaN,1,M. capitata,16.4,25.4,7.6,2.7,10.3
HonolulaN_Transect1_02.tif:mc-3,HonoluaN,1,M. capitata,28.4,22.3,7.8,4.6,177.7
HonolulaN_Transect1_03.tif:mc,HonoluaN,1,M. capitata,121.1,100.5,18.9,8.1,75.9
HonolulaN_Transect1_03.tif:mc-1,HonoluaN,1,M. capitata,17.1,16.8,5.1,4.3,100.6
HonolulaN_Transect1_03.tif:mc-2,HonoluaN,1,M. capitata,104.3,42.9,12.3,10.8,25.1
HonolulaN_Transect1_03.tif:mc-3,HonoluaN,1,M. capitata,9.6,11.9,3.7,3.3,129.1
HonolulaN_Transect1_03.tif:mc-4,HonoluaN,1,M. capitata,59.6,30.5,10.6,7.2,176.8
HonolulaN_Transect1_03.tif:mc-5,HonoluaN,1,M. capitata,20.8,21.7,7.9,3.4,9
HonolulaN_Transect1_03.tif:pl,HonoluaN,1,P. lobata,38,26.1,7.4,6.5,85.4
HonolulaN_Transect1_04.tif:mc,HonoluaN,1,M. capitata,46.5,30.1,9.2,6.5,119.9
HonolulaN_Transect1_04.tif:mc-1,HonoluaN,1,M. capitata,9.1,13,4.8,2.4,156.5
HonolulaN_Transect1_04.tif:mc-10,HonoluaN,1,M. capitata,8.5,12.3,4.4,2.5,48.6
HonolulaN_Transect1_04.tif:mc-11,HonoluaN,1,M. capitata,18.2,18.4,5.8,4,54.4
HonolulaN_Transect1_04.tif:mc-2,HonoluaN,1,M. capitata,4.4,9.8,3,1.8,56.4
HonolulaN_Transect1_04.tif:mc-3,HonoluaN,1,M. capitata,8.9,12.2,4.6,2.5,169.3
HonolulaN_Transect1_04.tif:mc-4,HonoluaN,1,M. capitata,62.6,34.2,10.5,7.6,68.6
HonolulaN_Transect1_04.tif:mc-5,HonoluaN,1,M. capitata,12.5,15.1,5,3.2,12.2
HonolulaN_Transect1_04.tif:mc-6,HonoluaN,1,M. capitata,1,3.8,1.3,1,137.2
HonolulaN_Transect1_04.tif:mc-7,HonoluaN,1,M. capitata,6.9,11.8,4.3,2.1,111.9
HonolulaN_Transect1_04.tif:mc-8,HonoluaN,1,M. capitata,8.3,12.3,3.5,3.1,59.7
HonolulaN_Transect1_04.tif:mc-9,HonoluaN,1,M. capitata,72.3,47.9,10.6,8.7,169.2
HonolulaN_Transect1_04.tif:mp,HonoluaN,1,M. patula,30.5,43.3,8.2,4.7,150.1
HonolulaN_Transect1_04.tif:mp-1,HonoluaN,1,M. patula,27.4,35.6,8.2,4.3,144.7
HonolulaN_Transect1_04.tif:mp-2,HonoluaN,1,M. patula,5.7,12.2,4.1,1.8,176.4
HonolulaN_Transect1_04.tif:mp-3,HonoluaN,1,M. patula,1.8,5.5,1.8,1.3,111.4
HonolulaN_Transect1_04.tif:mp-4,HonoluaN,1,M. patula,5.9,12.4,4.1,1.8,154.1
HonolulaN_Transect1_04.tif:mp-5,HonoluaN,1,M. patula,9,16.2,4.9,2.3,87.1
HonolulaN_Transect1_04.tif:mp-6,HonoluaN,1,M. patula,3.1,7.7,2.6,1.5,146.7
HonolulaN_Transect1_04.tif:pl,HonoluaN,1,P. lobata,94.7,73.6,14.9,8.1,168.5
HonolulaN_Transect1_04.tif:pl-1,HonoluaN,1,P. lobata,31,28.6,8.8,4.5,87
HonolulaN_Transect1_04.tif:pl-10,HonoluaN,1,P. lobata,28.7,28.8,7.5,4.9,161.7
HonolulaN_Transect1_04.tif:pl-11,HonoluaN,1,P. lobata,4.1,9.1,2.6,2,53.2
HonolulaN_Transect1_04.tif:pl-12,HonoluaN,1,P. lobata,10.4,16.5,5,2.6,138.6
HonolulaN_Transect1_04.tif:pl-13,HonoluaN,1,P. lobata,3.1,9.6,3.5,1.2,34.7
HonolulaN_Transect1_04.tif:pl-14,HonoluaN,1,P. lobata,5.9,14.6,3.5,2.1,113.7
HonolulaN_Transect1_04.tif:pl-15,HonoluaN,1,P. lobata,178.1,128,17.4,13.1,22.2
HonolulaN_Transect1_04.tif:pl-16,HonoluaN,1,P. lobata,13.4,20.3,5.1,3.3,148.1
HonolulaN_Transect1_04.tif:pl-2,HonoluaN,1,P. lobata,24.9,31.9,7.9,4,145
HonolulaN_Transect1_04.tif:pl-3,HonoluaN,1,P. lobata,35.6,40.3,10.4,4.3,85.3
HonolulaN_Transect1_04.tif:pl-4,HonoluaN,1,P. lobata,43.8,40.9,9.6,5.8,115.6
HonolulaN_Transect1_04.tif:pl-5,HonoluaN,1,P. lobata,11.1,13.8,4.6,3.1,127
HonolulaN_Transect1_04.tif:pl-6,HonoluaN,1,P. lobata,2.3,5.6,1.8,1.6,79.3
HonolulaN_Transect1_04.tif:pl-7,HonoluaN,1,P. lobata,3.7,8.5,2.3,2,155.3
HonolulaN_Transect1_04.tif:pl-8,HonoluaN,1,P. lobata,23.5,27.8,7.8,3.8,154.6
HonolulaN_Transect1_04.tif:pl-9,HonoluaN,1,P. lobata,88.5,38.2,12,9.4,10.8
HonolulaN_Transect1_05.tif:mc,HonoluaN,1,M. capitata,417,165.1,31.5,16.8,90.3
HonolulaN_Transect1_05.tif:mc-1,HonoluaN,1,M. capitata,60.3,39.7,12.4,6.2,174.5
HonolulaN_Transect1_05.tif:mc-2,HonoluaN,1,M. capitata,11,14.1,5,2.8,3.4
HonolulaN_Transect1_05.tif:mc-3,HonoluaN,1,M. capitata,1.4,4.3,1.5,1.2,98
HonolulaN_Transect1_05.tif:mp,HonoluaN,1,M. patula,10.8,20.1,5.2,2.7,37.9
HonolulaN_Transect1_05.tif:pl,HonoluaN,1,P. lobata,101.5,109.5,21.3,6.1,90.6
HonolulaN_Transect1_05.tif:pl-1,HonoluaN,1,P. lobata,4,11.3,3.2,1.6,69.2
HonolulaN_Transect1_05.tif:pl-10,HonoluaN,1,P. lobata,55.5,29.6,8.5,8.3,132.1
HonolulaN_Transect1_05.tif:pl-11,HonoluaN,1,P. lobata,6.3,12.3,4.1,1.9,48.2
HonolulaN_Transect1_05.tif:pl-12,HonoluaN,1,P. lobata,34.6,37.5,9.8,4.5,106.3
HonolulaN_Transect1_05.tif:pl-13,HonoluaN,1,P. lobata,1.6,5.2,1.9,1,157.9
HonolulaN_Transect1_05.tif:pl-2,HonoluaN,1,P. lobata,52.4,58.2,10.4,6.4,113.7
HonolulaN_Transect1_05.tif:pl-3,HonoluaN,1,P. lobata,3.2,7.4,2.6,1.5,108.9
HonolulaN_Transect1_05.tif:pl-4,HonoluaN,1,P. lobata,136.8,60.9,17.4,10,120.1
HonolulaN_Transect1_05.tif:pl-5,HonoluaN,1,P. lobata,47.5,36.1,10.1,6,41.7
HonolulaN_Transect1_05.tif:pl-6,HonoluaN,1,P. lobata,4.5,8.9,3,1.9,72.8
HonolulaN_Transect1_05.tif:pl-7,HonoluaN,1,P. lobata,0.7,3.1,1.1,0.8,108.7
HonolulaN_Transect1_05.tif:pl-8,HonoluaN,1,P. lobata,33,32.1,8.3,5.1,61.3
HonolulaN_Transect1_05.tif:pl-9,HonoluaN,1,P. lobata,44.5,32.4,8.6,6.6,118.9
HonolulaN_Transect1_06.tif:mc,HonoluaN,1,M. capitata,97.9,60.6,15.8,7.9,27.1
HonolulaN_Transect1_06.tif:mc-1,HonoluaN,1,M. capitata,14.1,16.2,4.6,3.9,67.9
HonolulaN_Transect1_06.tif:mc-2,HonoluaN,1,M. capitata,1.3,4.3,1.5,1.1,80.7
HonolulaN_Transect1_06.tif:mc-3,HonoluaN,1,M. capitata,14.7,18,5.5,3.4,118.3
HonolulaN_Transect1_06.tif:mp,HonoluaN,1,M. patula,19.3,20.5,6.1,4,94.2
HonolulaN_Transect1_06.tif:mp-1,HonoluaN,1,M. patula,2.7,6.3,2.2,1.6,54.1
HonolulaN_Transect1_06.tif:mp-2,HonoluaN,1,M. patula,62.7,36.9,9.9,8,36.9
HonolulaN_Transect1_06.tif:mp-3,HonoluaN,1,M. patula,13.9,15.8,5.6,3.2,56.7
HonolulaN_Transect1_06.tif:mp-4,HonoluaN,1,M. patula,13.4,16.9,7,2.4,108.5
HonolulaN_Transect1_06.tif:pc,HonoluaN,1,P. compressa,4,8.1,2.7,1.8,116.1
HonolulaN_Transect1_06.tif:pc-1,HonoluaN,1,P. compressa,56.3,52.1,11.2,6.4,129
HonolulaN_Transect1_06.tif:pl,HonoluaN,1,P. lobata,56.2,38,10.1,7.1,2.3
HonolulaN_Transect1_06.tif:pl-1,HonoluaN,1,P. lobata,20.1,25.2,8.1,3.1,60
HonolulaN_Transect1_06.tif:pl-10,HonoluaN,1,P. lobata,5.5,9.1,2.9,2.4,61.7
HonolulaN_Transect1_06.tif:pl-11,HonoluaN,1,P. lobata,31.1,29.4,9.9,4,18.6
HonolulaN_Transect1_06.tif:pl-12,HonoluaN,1,P. lobata,0.9,3.7,1.1,1.1,54.7
HonolulaN_Transect1_06.tif:pl-13,HonoluaN,1,P. lobata,8.3,11.8,3.7,2.9,107.5
HonolulaN_Transect1_06.tif:pl-14,HonoluaN,1,P. lobata,109.5,96.9,14.7,9.5,90.4
HonolulaN_Transect1_06.tif:pl-15,HonoluaN,1,P. lobata,16.1,15.7,5,4.1,138.3
HonolulaN_Transect1_06.tif:pl-2,HonoluaN,1,P. lobata,26.2,22.4,6.6,5,57
HonolulaN_Transect1_06.tif:pl-3,HonoluaN,1,P. lobata,13.8,22.6,5,3.5,24.1
HonolulaN_Transect1_06.tif:pl-4,HonoluaN,1,P. lobata,46.9,33,10,6,110.1
HonolulaN_Transect1_06.tif:pl-5,HonoluaN,1,P. lobata,38.4,25.3,9.2,5.3,99.7
HonolulaN_Transect1_06.tif:pl-6,HonoluaN,1,P. lobata,120.6,56.7,13.2,11.6,25.4
HonolulaN_Transect1_06.tif:pl-7,HonoluaN,1,P. lobata,45.9,32.1,9.7,6,121.9
HonolulaN_Transect1_06.tif:pl-8,HonoluaN,1,P. lobata,5.2,9.1,3.2,2.1,69.7
HonolulaN_Transect1_06.tif:pl-9,HonoluaN,1,P. lobata,66.4,53.9,11.4,7.4,22.4
HonolulaN_Transect1_06.tif:pm,HonoluaN,1,P. meandrina,33.6,29.8,8.6,5,158
HonolulaN_Transect1_07.tif:mc,HonoluaN,1,M. capitata,13.7,15.7,5.2,3.4,11.5
HonolulaN_Transect1_07.tif:mc-1,HonoluaN,1,M. capitata,153,85,17.9,10.9,60.4
HonolulaN_Transect1_07.tif:mc-2,HonoluaN,1,M. capitata,15,26.6,7.6,2.5,16.3
HonolulaN_Transect1_07.tif:mc-3,HonoluaN,1,M. capitata,97.5,52.7,16.3,7.6,13.6
