Island,Site,Depth (m),Depth,Taxon,Slope
Maui,Honolua North,3,S,Montipora capitata,0.054392614
Maui,Honolua South,3,S,Montipora capitata,-0.107603637
Maui,Kahekili,3,S,Montipora capitata,0.395444013
Maui,Kahekili,7,D,Montipora capitata,0.262360786
Maui,Molokini,8,D,Montipora capitata,1.077824815
Maui,Molokini,13,D,Montipora capitata,2.997066855
Maui,Olowalu,3,S,Montipora capitata,0.073339771
Maui,Olowalu,7,D,Montipora capitata,0.864536968
Maui,Papaula Pt.,10,D,Montipora capitata,-0.236828998
Maui,Puamana,3,S,Montipora capitata,-0.011263053
