utrans,year,cover
HonN,1999.00,15.25467785
HonN,2000.00,16.95047619
HonN,2001.00,15.09684087
HonN,2002.00,14.11058824
HonN,2003.00,8.371428571
HonN,2004.00,10.28363636
HonN,2005.00,7.68
HonN,2006.00,9.2
HonN,2007.00,9.468951049
HonN,2008.00,8.377777778
HonN,2009.00,9.013644134
HonN,2010.00,9.718181818
HonN,2011.00,9.992121212
HonN,2012.00,10.7179798
HonS,1999.00,20.86543055
HonS,2000.00,26.93333333
HonS,2001.00,23.12269841
HonS,2002.00,23.88833333
HonS,2003.00,21.28
HonS,2004.00,23.37979798
HonS,2005.00,10.56
HonS,2006.00,9.24
HonS,2007.00,9.050909091
HonS,2008.00,7.746666667
HonS,2009.00,6.60969697
HonS,2010.00,6.596363636
HonS,2011.00,8.32
HonS,2012.00,8.698181818
Kahe03,1999.00,43.51508032
Kahe03,2000.00,
Kahe03,2001.00,29.4
Kahe03,2002.00,32.52544118
Kahe03,2003.00,32.33333333
Kahe03,2004.00,35.48671329
Kahe03,2005.00,28.8
Kahe03,2006.00,37.76
Kahe03,2007.00,36.02333333
Kahe03,2008.00,39.78909091
Kahe03,2009.00,44.92757576
Kahe03,2010.00,42.77030303
Kahe03,2011.00,45.62181818
Kahe03,2012.00,44.48
Kahe07,1999.00,30.15687801
Kahe07,2000.00,
Kahe07,2001.00,21.65333333
Kahe07,2002.00,21.21416667
Kahe07,2003.00,24.96
Kahe07,2004.00,29.34484848
Kahe07,2005.00,24.28
Kahe07,2006.00,30.6
Kahe07,2007.00,31.69090909
Kahe07,2008.00,
Kahe07,2009.00,29.5
Kahe07,2010.00,31.5
Kahe07,2011.00,29.59636364
Kahe07,2012.00,29.01818182
Molo08,1999.00,
Molo08,2000.00,63.9926704
Molo08,2001.00,55.88
Molo08,2002.00,63.3675
Molo08,2003.00,77.75977591
Molo08,2004.00,65.65151515
Molo08,2005.00,64.32
Molo08,2006.00,64.93777778
Molo08,2007.00,68.37454545
Molo08,2008.00,67.60909091
Molo08,2009.00,65.88554779
Molo08,2010.00,62.94181818
Molo08,2011.00,69.66666667
Molo08,2012.00,61.94629371
Molo13,1999.00,
Molo13,2000.00,88.98888889
Molo13,2001.00,77.28
Molo13,2002.00,84
Molo13,2003.00,93.35921569
Molo13,2004.00,85.0030303
Molo13,2005.00,85.42222222
Molo13,2006.00,81.69131313
Molo13,2007.00,87.73222222
Molo13,2008.00,86.07272727
Molo13,2009.00,87.66666667
Molo13,2010.00,84.97878788
Molo13,2011.00,84.79575758
Molo13,2012.00,83.67636364
Olow03,1999.00,22.91882648
Olow03,2000.00,24.65833333
Olow03,2001.00,21.50666667
Olow03,2002.00,23.15972222
Olow03,2003.00,16.29333333
Olow03,2004.00,20.64
Olow03,2005.00,16.64
Olow03,2006.00,18.72
Olow03,2007.00,19.68363636
Olow03,2008.00,21.66060606
Olow03,2009.00,18.71777778
Olow03,2010.00,18.17016317
Olow03,2011.00,18.93552448
Olow03,2012.00,17.33933622
Olow07,1999.00,55.40801461
Olow07,2000.00,53.98803922
Olow07,2001.00,52.57333333
Olow07,2002.00,50.93906863
Olow07,2003.00,51.04
Olow07,2004.00,51.78181818
Olow07,2005.00,51.42222222
Olow07,2006.00,53.88
Olow07,2007.00,54.96
Olow07,2008.00,55.8449728
Olow07,2009.00,51.94282828
Olow07,2010.00,57.86363636
Olow07,2011.00,52.95515152
Olow07,2012.00,47.8630303
Papa10,1999.00,50.32108187
Papa10,2000.00,46.23703704
Papa10,2001.00,43.81333333
Papa10,2002.00,53.40383987
Papa10,2003.00,58.71428571
Papa10,2004.00,49.99757576
Papa10,2005.00,
Papa10,2006.00,35.76
Papa10,2007.00,41.4
Papa10,2008.00,12.30181818
Papa10,2009.00,7.286060606
Papa10,2010.00,5.843549784
Papa10,2011.00,6.789090909
Papa10,2012.00,4.748484848
Puam03,1999.00,14.92007289
Puam03,2000.00,17.73011905
Puam03,2001.00,16.02608719
Puam03,2002.00,13.42132353
Puam03,2003.00,9.626666667
Puam03,2004.00,9.298181818
Puam03,2005.00,
Puam03,2006.00,10.15555556
Puam03,2007.00,
Puam03,2008.00,15.45020202
Puam03,2009.00,12.82686869
Puam03,2010.00,11.99212121
Puam03,2011.00,17.50727273
Puam03,2012.00,14.70363636
