Site	treat	PLOT	PLANT	size.06	size.07	fruit.06	fruit.07	esc.06	esc.07	ramet.06	ramet.07	stage.06	stage.07	cl.rep.06.07	ori.07	fam.count06	fam.count07
1	H	1	1	33	20	1	0	1	NA	1	1	AR2	AR2	1	NA	13	15
1	H	1	1.1	NA	23	0	0	NA	NA	NA	1	NA	AR2	NA	1	NA	15
1	H	1	16	18	26	0	0	NA	NA	0	0	A	A	0	NA	0	0
1	H	1	17	11	6	0	NA	NA	NA	0	0	S	S	0	NA	0	0
1	H	1	18	13	11	0	0	NA	NA	0	0	S	S	0	NA	0	0
1	H	1	20	18	20	0	0	NA	NA	1	1	SR	AR2	0	NA	5	6
1	H	1	21	55	40	1	0	4	NA	0	1	A	AR1	1	NA	0	2
1	H	1	21.1	NA	52	0	0	NA	NA	NA	1	NA	AR1	NA	1	NA	2
1	H	1	23	35	37	1	0	1	NA	1	1	AR2	AR2	0	NA	5	6
1	H	1	29	22	26	0	0	NA	NA	0	0	A	A	0	NA	0	0
1	H	1	30	48	30	0	0	NA	NA	0	0	A	A	0	NA	0	0
1	H	1	30.1	NA	31	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	H	2	33	8	6	0	NA	NA	NA	0	0	S	S	0	NA	0	0
1	H	2	34	38	41	1	0	1	NA	0	1	A	AR1	1	NA	0	2
1	H	2	34.1	NA	47	0	0	NA	NA	NA	1	NA	AR1	NA	1	NA	2
1	H	2	40	39	47	1	1	1	1	0	0	A	A	0	NA	0	0
1	H	2	41	35	37	0	0	NA	NA	0	0	A	A	0	NA	0	0
1	H	2	43	14	12	0	NA	NA	NA	0	0	S	S	0	NA	0	0
1	H	2	44	17	6	0	NA	NA	NA	1	1	SR	SR	0	NA	2	3
1	H	2	45	26	10	0	0	NA	NA	0	0	A	S	0	NA	0	0
1	H	2	47	51	16	1	0	10	NA	0	1	A	SR	1	NA	0	2
1	H	2	47.1	NA	7	0	NA	NA	NA	NA	1	NA	SR	NA	1	NA	2
1	H	2	51	53	50	1	0	10	NA	1	1	AR2	AR2	1	NA	6	9
1	H	2	51.1	NA	17	0	NA	NA	NA	NA	1	NA	SR	NA	1	NA	9
1	H	2	51.2	NA	21	0	0	NA	NA	NA	1	NA	AR2	NA	1	NA	9
1	H	2	51.3	NA	24	0	0	NA	NA	NA	1	NA	AR2	NA	1	NA	9
1	H	2	58	44	46	0	0	NA	NA	1	1	AR1	AR1	0	NA	3	2
1	H	2	60	14	NA	0	NA	NA	NA	0	NA	S	dead	0	NA	0	NA
1	H	2	61	22	NA	0	NA	NA	NA	0	NA	A	dead	0	NA	0	NA
