"utrans","uquad","quad","year","avg(Psurv)","numquad"
"Honolua.N","Honolua.N.Q1","Q1",1999,1,1
"Honolua.N","Honolua.N.Q1","Q1",2000,,1
"Honolua.N","Honolua.N.Q1","Q1",2001,,1
"Honolua.N","Honolua.N.Q1","Q1",2002,0.8461538461538462,1
"Honolua.N","Honolua.N.Q1","Q1",2003,0.9230769230769231,1
"Honolua.N","Honolua.N.Q1","Q1",2004,0.5714285714285714,1
"Honolua.N","Honolua.N.Q2","Q2",1999,0.6666666666666666,2
"Honolua.N","Honolua.N.Q2","Q2",2000,,2
"Honolua.N","Honolua.N.Q2","Q2",2001,,2
"Honolua.N","Honolua.N.Q2","Q2",2002,0.7894736842105263,2
"Honolua.N","Honolua.N.Q2","Q2",2003,0.6153846153846154,2
"Honolua.N","Honolua.N.Q2","Q2",2004,0.6363636363636364,2
"Honolua.N","Honolua.N.Q3","Q3",1999,0.75,3
"Honolua.N","Honolua.N.Q3","Q3",2000,,3
"Honolua.N","Honolua.N.Q3","Q3",2001,,3
"Honolua.N","Honolua.N.Q3","Q3",2002,1,3
"Honolua.N","Honolua.N.Q3","Q3",2003,1,3
"Honolua.N","Honolua.N.Q3","Q3",2004,0.7142857142857143,3
"Honolua.N","Honolua.N.Q4","Q4",1999,0.8888888888888888,4
"Honolua.N","Honolua.N.Q4","Q4",2000,,4
"Honolua.N","Honolua.N.Q4","Q4",2001,,4
"Honolua.N","Honolua.N.Q4","Q4",2002,0.8333333333333334,4
"Honolua.N","Honolua.N.Q4","Q4",2003,0.8333333333333334,4
"Honolua.N","Honolua.N.Q4","Q4",2004,1,4
"Honolua.N","Honolua.N.Q5","Q5",1999,0.7352941176470589,5
"Honolua.N","Honolua.N.Q5","Q5",2000,,5
"Honolua.N","Honolua.N.Q5","Q5",2001,,5
"Honolua.N","Honolua.N.Q5","Q5",2002,0.7777777777777778,5
"Honolua.N","Honolua.N.Q5","Q5",2003,0.75,5
"Honolua.N","Honolua.N.Q5","Q5",2004,0.85,5
"Honolua.S","Honolua.S.Q1","Q1",1999,,1
"Honolua.S","Honolua.S.Q1","Q1",2000,,1
"Honolua.S","Honolua.S.Q1","Q1",2001,,1
"Honolua.S","Honolua.S.Q1","Q1",2002,1,1
"Honolua.S","Honolua.S.Q1","Q1",2003,1,1
"Honolua.S","Honolua.S.Q1","Q1",2004,0.6666666666666666,1
"Honolua.S","Honolua.S.Q2","Q2",1999,0.7,2
"Honolua.S","Honolua.S.Q2","Q2",2000,,2
"Honolua.S","Honolua.S.Q2","Q2",2001,,2
"Honolua.S","Honolua.S.Q2","Q2",2002,0.3076923076923077,2
"Honolua.S","Honolua.S.Q2","Q2",2003,0.5,2
"Honolua.S","Honolua.S.Q2","Q2",2004,1,2
"Honolua.S","Honolua.S.Q3","Q3",1999,1,3
"Honolua.S","Honolua.S.Q3","Q3",2000,,3
"Honolua.S","Honolua.S.Q3","Q3",2001,,3
"Honolua.S","Honolua.S.Q3","Q3",2002,1,3
"Honolua.S","Honolua.S.Q3","Q3",2003,1,3
"Honolua.S","Honolua.S.Q3","Q3",2004,1,3
"Honolua.S","Honolua.S.Q4","Q4",1999,1,4
"Honolua.S","Honolua.S.Q4","Q4",2000,,4
"Honolua.S","Honolua.S.Q4","Q4",2001,,4
"Honolua.S","Honolua.S.Q4","Q4",2002,,4
"Honolua.S","Honolua.S.Q4","Q4",2003,,4
"Honolua.S","Honolua.S.Q4","Q4",2004,1,4
"Kahekili.03m","Kahekili.03m.Q1","Q1",1999,,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2000,,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2001,0.9,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2002,0.7058823529411765,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2003,0.9285714285714286,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2004,0.5,1
"Kahekili.03m","Kahekili.03m.Q2","Q2",1999,,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2000,,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2001,0.3333333333333333,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2002,1,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2003,1,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2004,0,2
"Kahekili.03m","Kahekili.03m.Q3","Q3",1999,,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2000,,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2001,1,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2002,0.625,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2003,1,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2004,0.6923076923076923,3
"Kahekili.03m","Kahekili.03m.Q4","Q4",1999,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2000,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2001,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2002,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2003,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2004,0,4
"Kahekili.03m","Kahekili.03m.Q5","Q5",1999,,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2000,,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2001,,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2002,1,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2003,1,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2004,0.6666666666666666,5
"Kahekili.07m","Kahekili.07m.Q1","Q1",1999,,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2000,,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2001,0.9,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2002,0.6666666666666666,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2003,1,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2004,0.5,1
"Kahekili.07m","Kahekili.07m.Q2","Q2",1999,,2
"Kahekili.07m","Kahekili.07m.Q2","Q2",2000,,2
"Kahekili.07m","Kahekili.07m.Q2","Q2",2001,0.9545454545454546,2
