sitename,depthname,quadrat,species,colony,depth (m),fate_prior,fate_t,year,area (cmsq),perimeter (cm),yearNext,areaNext(cmsq),perimeterNext(cm),survival,fission,fissionproducts,offspringType,spcover,totalcover
Olow,03m,1,MC,01a,3,NA,I,1999,72.715252,60.516934,2000,0.67,3.261354,NA,NA,2,clonal,821.12752,1261.987667
Olow,03m,1,MC,01b,3,NA,I,1999,72.715252,60.516934,2000,0.773333,3.737784,NA,NA,2,clonal,821.12752,1261.987667
Olow,03m,1,MC,1,3,NA,I,1999,72.715252,60.516934,2000,77.932222,65.688147,1,1,2,NA,821.12752,1261.987667
Olow,03m,1,MC,02a,3,NA,I,1999,77.830749,59.632324,2000,12.231111,20.228665,NA,NA,4,clonal,821.12752,1261.987667
Olow,03m,1,MC,02b,3,NA,I,1999,77.830749,59.632324,2000,1.041111,4.178511,NA,NA,4,clonal,821.12752,1261.987667
Olow,03m,1,MC,02c,3,NA,I,1999,77.830749,59.632324,2000,2.131111,6.348935,NA,NA,4,clonal,821.12752,1261.987667
Olow,03m,1,MC,02d,3,NA,I,1999,77.830749,59.632324,2000,1.485556,5.712945,NA,NA,4,clonal,821.12752,1261.987667
Olow,03m,1,MC,2,3,NA,I,1999,77.830749,59.632324,2000,21.687778,28.777312,1,1,4,NA,821.12752,1261.987667
Olow,03m,1,MC,03a,3,NA,I,1999,11.969674,19.588994,2000,4.886667,10.630102,NA,NA,1,clonal,821.12752,1261.987667
Olow,03m,1,MC,3,3,NA,I,1999,11.969674,19.588994,2000,16.876667,19.507057,1,1,1,NA,821.12752,1261.987667
Olow,03m,1,MC,04a,3,NA,I,1999,186.929308,94.261806,2000,7.095556,14.524909,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04b,3,NA,I,1999,186.929308,94.261806,2000,0.433333,2.645178,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04c,3,NA,I,1999,186.929308,94.261806,2000,6.157778,14.236466,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04d,3,NA,I,1999,186.929308,94.261806,2000,3.467778,9.063842,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04e,3,NA,I,1999,186.929308,94.261806,2000,1.908889,5.703182,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04f,3,NA,I,1999,186.929308,94.261806,2000,5.842222,12.30232,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04g,3,NA,I,1999,186.929308,94.261806,2000,1.625556,5.285618,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04h,3,NA,I,1999,186.929308,94.261806,2000,2.957778,7.870255,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04i,3,NA,I,1999,186.929308,94.261806,2000,17.581111,39.190089,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,04j,3,NA,I,1999,186.929308,94.261806,2000,0.256667,2.020914,NA,NA,10,clonal,821.12752,1261.987667
Olow,03m,1,MC,4,3,NA,I,1999,186.929308,94.261806,2000,25.242222,44.167738,1,1,10,NA,821.12752,1261.987667
Olow,03m,1,MC,5,3,NA,S,1999,2.657742,6.639762,2000,2.006667,6.262742,1,0,NA,NA,821.12752,1261.987667
Olow,03m,1,MC,06a,3,NA,I,1999,31.610956,36.510387,2000,3.37,8.777649,NA,NA,2,clonal,821.12752,1261.987667
Olow,03m,1,MC,06b,3,NA,I,1999,31.610956,36.510387,2000,7.446667,15.53941,NA,NA,2,clonal,821.12752,1261.987667
Olow,03m,1,MC,6,3,NA,I,1999,31.610956,36.510387,2000,10.926667,22.185688,1,1,2,NA,821.12752,1261.987667
Olow,03m,1,MC,7,3,NA,D,1999,10.012431,18.97155,2000,NA,NA,0,NA,NA,NA,821.12752,1261.987667
Olow,03m,1,MC,8,3,NA,D,1999,0.551875,2.837706,2000,NA,NA,0,NA,NA,NA,821.12752,1261.987667
Olow,03m,1,MC,9,3,NA,D,1999,12.645038,20.206437,2000,NA,NA,0,NA,NA,NA,821.12752,1261.987667
Olow,03m,1,MC,10,3,NA,D,1999,1.251281,4.4195,2000,NA,NA,0,NA,NA,NA,821.12752,1261.987667
