"","island","sitename","depthname","quad","species","colony","depth","allfates","fate_prior","fate_t","year","asize","psize","yearNext","asizeNext","psizeNext","survIPM","fateIPM","fec1","fec2","fec3","offspringNext","spcover","allcover","fuseLGname","fuseLGsize","twoyear","unknown","size","sizeNext","surv","rec1","rec2","rec3","stage","stageNext"
"1","Ma","HonN","03m",1,"MC","1",3,"S",NA,"S",1999,10.943589,16.552035,2000,4.323424,14.502907,1,"growth",0,NA,NA,NA,236.902641,648.26974,NA,NA,0,NA,2.39275380535043,1.46404768091297,1,1,1,1,"continuous","continuous"
"2","Ma","HonN","03m",1,"MC","02a",3,"I",NA,"I",1999,26.063236,30.841991,2000,1.590963,5.449414,NA,"fissSM",NA,1,1.590963,"clonal",236.902641,648.26974,NA,NA,0,1,3.26052573896844,0.464339493271276,NA,NA,NA,NA,"continuous","continuous"
"3","Ma","HonN","03m",1,"MC","2",3,"I",NA,"I",1999,26.063236,30.841991,2000,6.945303,14.208578,1,"fissLG",1,1,1.590963,NA,236.902641,648.26974,NA,NA,0,NA,3.26052573896844,1.93806560376433,1,1,1,1,"continuous","continuous"
"4","Ma","HonN","03m",1,"MC","03a",3,"I",NA,"I",1999,6.678657,18.663427,2000,1.387634,5.533381,NA,"fissSM",NA,1,1.387634,"clonal",236.902641,648.26974,NA,NA,0,1,1.89891691943152,0.327600138551812,NA,NA,NA,NA,"continuous","continuous"
"5","Ma","HonN","03m",1,"MC","3",3,"I",NA,"I",1999,6.678657,18.663427,2000,23.612366,28.52162,1,"fissLG",1,1,1.387634,NA,236.902641,648.26974,NA,NA,0,NA,1.89891691943152,3.16177055785123,1,1,1,1,"continuous","continuous"
"6","Ma","HonN","03m",1,"MC","04a",3,"I",NA,"I",1999,161.170011,128.37666,2000,5.29132,13.143796,NA,"fissSM",NA,1,5.29132,"clonal",236.902641,648.26974,NA,NA,0,1,5.08245977678554,1.66606774215363,NA,NA,NA,NA,"continuous","continuous"
"7","Ma","HonN","03m",1,"MC","4",3,"I",NA,"I",1999,161.170011,128.37666,2000,165.80975,128.683947,1,"fissLG",1,1,5.29132,NA,236.902641,648.26974,NA,NA,0,NA,5.08245977678554,5.11084104676231,1,1,1,1,"continuous","continuous"
"8","Ma","HonN","03m",1,"MC","5",3,"S",NA,"S",1999,2.469,9.812589,2000,1.732461,5.843008,1,"growth",0,NA,NA,NA,236.902641,648.26974,NA,NA,0,NA,0.903813210363042,0.549542941006038,1,1,1,1,"continuous","continuous"
"9","Ma","HonN","03m",1,"MC","6",3,"S",NA,"S",1999,3.674237,8.321348,2000,12.722949,15.850483,1,"growth",0,NA,NA,NA,236.902641,648.26974,NA,NA,0,NA,1.30134549206136,2.54340737066397,1,1,1,1,"continuous","continuous"
"10","Ma","HonN","03m",1,"MC","7",3,"S",NA,"S",1999,3.84982,8.080283,2000,6.568371,11.400053,1,"growth",0,NA,NA,NA,236.902641,648.26974,NA,NA,0,NA,1.34802639395997,1.88226585654755,1,1,1,1,"continuous","continuous"
