island	sitename	depthname	quad	species	colony	depth	allfates	fate_prior	fate_t	year	asize	psize	yearNext	asizeNext	psizeNext	survIPM	fateIPM	fec1	fec2	fec3	offspringNext	spcover	allcover	fuseLGname	fuseLGsize	twoyear	
Ma	HonN	03m	1	MC	01	03	S		S	1999	10.943589	16.552035	2000	4.323424	14.502907	1	growth	0				236.902641	648.26974			0	
Ma	HonN	03m	1	MC	02a	03	I		I	1999	26.063236	30.841991	2000	1.590963	5.449414		fissSM		1	1.590963	clonal	236.902641	648.26974			0	
Ma	HonN	03m	1	MC	02	03	I		I	1999	26.063236	30.841991	2000	6.945303	14.208578	1	fissLG	1	1	1.590963		236.902641	648.26974			0	
Ma	HonN	03m	1	MC	03a	03	I		I	1999	6.678657	18.663427	2000	1.387634	5.533381		fissSM		1	1.387634	clonal	236.902641	648.26974			0	
Ma	HonN	03m	1	MC	03	03	I		I	1999	6.678657	18.663427	2000	23.612366	28.521620	1	fissLG	1	1	1.387634		236.902641	648.26974			0	
Ma	HonN	03m	1	MC	04a	03	I		I	1999	161.170011	128.376660	2000	5.291320	13.143796		fissSM		1	5.29132	clonal	236.902641	648.26974			0	
Ma	HonN	03m	1	MC	04	03	I		I	1999	161.170011	128.376660	2000	165.809750	128.683947	1	fissLG	1	1	5.29132		236.902641	648.26974			0	
Ma	HonN	03m	1	MC	05	03	S		S	1999	2.469000	9.812589	2000	1.732461	5.843008	1	growth	0				236.902641	648.26974			0	
Ma	HonN	03m	1	MC	06	03	S		S	1999	3.674237	8.321348	2000	12.722949	15.850483	1	growth	0				236.902641	648.26974			0	
Ma	HonN	03m	1	MC	07	03	S		S	1999	3.849820	8.080283	2000	6.568371	11.400053	1	growth	0				236.902641	648.26974			0	
Ma	HonN	03m	1	MC	08	03	S		S	1999	2.341107	9.496322	2000	8.136742	12.501174	1	growth	0				236.902641	648.26974			0	
Ma	HonN	03m	1	MC	09	03	S		S	1999	19.712984	25.197070	2000	26.390012	24.735448	1	growth	0				236.902641	648.26974			0	
Ma	HonN	03m	1	PC	01	03	S		S	1999	12.869583	28.296116	2000	24.982164	33.228553	1	growth	0				136.512523	648.26974			0	
Ma	HonN	03m	1	PC	02	03	S		S	1999	23.157446	28.389517	2000	42.434007	44.041384	1	growth	0				136.512523	648.26974			0	
Ma	HonN	03m	1	PC	03	03	S		S	1999	1.219326	4.542642	2000	0.724138	3.986137	1	growth	0				136.512523	648.26974			0	
Ma	HonN	03m	1	PC	04	03	S		S	1999	1.417670	4.926407	2000	3.414982	9.665816	1	growth	0				136.512523	648.26974			0	
Ma	HonN	03m	1	PC	05	03	S		S	1999	14.448746	20.420265	2000	20.612366	25.167113	1	growth	0				136.512523	648.26974			0	
Ma	HonN	03m	1	PC	06	03	S		S	1999	3.489983	7.791006	2000	3.925089	8.076143	1	growth	0				136.512523	648.26974			0	
Ma	HonN	03m	1	PC	07	03	D		D	1999	1.106606	4.345111	2000			0	dead					136.512523	648.26974			0	
