"","S","I","U","GR","ES","GS","GG","GI","GU","C","F"
"Mean",0.822055427021561,-0.102863794606873,0.0423199579507091,0.0574974944694902,-0.025851170011601,-0.0206208331544899,0.0793385477451668,-0.102863794606863,0.0423199579506913,1.78514928793265e-14,-2.18184912969545e-14
"Honolua N",0.826307314004451,-0.0970432559462888,0.0568689725352455,0.0355190233095317,-0.0236735698430148,-0.0198977907336092,0.0567147583684905,-0.0970432559462748,0.0568689725353195,0,4.59765190404344e-14
"Honolua S",0.824699186741549,-0.100025790210579,0.0297849617438227,0.0667626515254647,-0.0255733562165013,-0.0198075351924715,0.0877678566918655,-0.100025790210544,0.0297849617437979,0,-2.48165282643957e-14
"Kahekili 3m",0.818814508694833,-0.10187293115324,0.0467417806577765,0.0516099688843928,-0.0237602930399978,-0.0190280738484224,0.0717408167801643,-0.101872931153208,0.0467417806577187,-5.37921502009944e-14,-2.98845278894413e-14
"Kahekili 7m",0.80567162945773,-0.105661320269131,0.0733469033565295,0.0296885913790171,-0.0188337305181805,-0.0157364565393891,0.0461843167410055,-0.105661320269108,0.0733469033565217,4.85029613242556e-14,-5.82035535891068e-15
"Molokini 7m",0.822954131385166,-0.0949317930776541,0.0445417263390596,0.0480312534366951,-0.0254199752409584,-0.0208110071450491,0.0700562826903694,-0.0949317930776503,0.0445417263390615,-4.61800971201761e-14,7.69668285336269e-15
"Molokini 13m",0.83011681986268,-0.0850003318137189,0.0318240660606946,0.0523907845312484,-0.0279791700236458,-0.0229698524160257,0.076628828498038,-0.0850003318137092,0.0318240660606693,7.00227190520527e-14,6.2242416935158e-14
"Olowalu 3m",0.802096391959826,-0.1083787201062,0.0797942568202859,0.025773260507356,-0.0173421694461894,-0.0145893963103585,0.0410463199584795,-0.108378720106208,0.0797942568202551,4.62563732341482e-14,1.92734888475617e-14
"Olowalu 7m",0.813078509240951,-0.0848780619907509,0.0539820149049583,0.0303105112383267,-0.0200421559376419,-0.0168488281186576,0.0478945106396198,-0.084878061990749,0.0539820149049085,-3.44751615467252e-14,-4.21363085571086e-14
"Papaula 10m",0.836885031401698,-0.0935340925564647,0.0171799100612077,0.0757059995558566,-0.0333077632400288,-0.0265758113121902,0.103964358726085,-0.0935340925564627,0.0171799100612436,2.99260325527652e-14,3.99013767370203e-14
"Puamana 3m",0.8227406091344,-0.11173147592724,0.0109982875836616,0.0980298505553849,-0.0292402661162604,-0.021329211768616,0.120635840612997,-0.11173147592721,0.0109982875836467,2.12965459847194e-14,8.09268747419336e-14
