"","S","I","U","GR","ES","GS","GG","GI","GU","C","F"
"Mean",0.819591162183925,-0.0933957278933235,0.0410050406728776,0.0549371702911926,-0.0258711707417709,-0.0204604037144828,0.0743481836471722,-0.0933957278933492,0.0410050406729034,2.97524881322107e-14,-1.98349920881405e-15
"Honolua N",0.824454892422073,-0.087125130746846,0.0548761036875031,0.0361430123000338,-0.0236777653101432,-0.0197267922398881,0.0547621659706869,-0.087125130746874,0.0548761036874631,-1.39928536210018e-14,-1.99897908871454e-15
"Honolua S",0.822744462987599,-0.0893138404892856,0.029273892535917,0.0629582235797629,-0.0255709129208226,-0.019621334036417,0.0815456703060011,-0.0893138404892607,0.0292738925358777,-2.27484842423627e-14,4.34289244626925e-14
"Kahekili 3m",0.815969600540075,-0.0917984648313864,0.0453454328924065,0.0494129024962623,-0.0237698390275705,-0.0188743394169734,0.0673301640795165,-0.0917984648314442,0.0453454328923945,3.98460371859218e-15,2.3907622311553e-14
"Kahekili 7m",0.802108059542712,-0.0968186169291323,0.0692867775845488,0.0297298839316799,-0.0188410083114668,-0.0156380314801913,0.0446997689754148,-0.0968186169291226,0.0692867775845721,-6.40239089480174e-14,2.52215398886129e-14
"Molokini 7m",0.8198309993239,-0.0868790184592095,0.0428249397000198,0.0460252830461803,-0.0254475310213127,-0.0206613189695157,0.0656380128334857,-0.0868790184592441,0.0428249397000526,-3.07867314134507e-14,2.30900485600881e-14
"Molokini 13m",0.826834742433536,-0.079076298357219,0.030536173114571,0.0491624391128447,-0.0280199461529755,-0.0228196385667499,0.0708812366605299,-0.0790762983572093,0.0305361731145905,-4.27916616429211e-14,-3.50113595260264e-14
"Olowalu 3m",0.798331692542176,-0.0988802310970599,0.07537322547192,0.025866633301089,-0.0173436874082351,-0.0144957160757687,0.0397574803507798,-0.0988802310970715,0.075373225471922,-1.92734888475617e-14,1.54187910780494e-14
"Olowalu 7m",0.809027694589077,-0.0795117256675712,0.050280000316384,0.0296856943927273,-0.0200601112482555,-0.0167607297350747,0.04579272104207,-0.0795117256675846,0.0502800003164242,5.74586025778754e-15,7.66114701038338e-15
"Papaula 10m",0.834593283018027,-0.0859328888248341,0.0168927260215638,0.0695560891898954,-0.0333618028493999,-0.0263699553448947,0.0944941662693535,-0.0859328888248541,0.0168927260215538,-8.77830288214447e-14,-4.38915144107224e-14
"Puamana 3m",0.821570211987274,-0.0997529101143204,0.0109322042159951,0.0910513556156739,-0.0292386669240006,-0.0211191446112596,0.111085401115291,-0.0997529101143801,0.0109322042159738,-5.32413649617984e-14,-1.27779275908316e-14
