"","island","sitename","depthname","quad","species","colony","depth","allfates","fate_t","year","asize","psize","yearNext","asizeNext","psizeNext","survIPM","fateIPM","fec1","spcover","allcover","twoyear","site","trans","utrans","uquad","uyear","tyear","ucolony","fyear","fyearNext","Pgrowth","Pfuse","Pfiss","Psurv","fate","size","sizeNext","size2","grArea","spcoverD"
"1","Ma","HonN","03m","Q1","MC","01",3,"S","S",1999,10.943589,16.552035,2000,4.323424,14.502907,1,"growth",0,236.902641,648.26974,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.1999","Honolua.N.1999","Honolua.N.Q1.MC.01","1999","2000",1,0,0,1,"growth",2.39275380535043,1.46404768091297,5.72527077301898,-0.928706124437459,1.27166963582524
"8","Ma","HonN","03m","Q1","MC","05",3,"S","S",1999,2.469,9.812589,2000,1.732461,5.843008,1,"growth",0,236.902641,648.26974,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.1999","Honolua.N.1999","Honolua.N.Q1.MC.05","1999","2000",1,0,0,1,"growth",0.903813210363042,0.549542941006038,0.816878319226749,-0.354270269357004,1.27166963582524
"9","Ma","HonN","03m","Q1","MC","06",3,"S","S",1999,3.674237,8.321348,2000,12.722949,15.850483,1,"growth",0,236.902641,648.26974,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.1999","Honolua.N.1999","Honolua.N.Q1.MC.06","1999","2000",1,0,0,1,"growth",1.30134549206136,2.54340737066397,1.69350008970843,1.2420618786026,1.27166963582524
"10","Ma","HonN","03m","Q1","MC","07",3,"S","S",1999,3.84982,8.080283,2000,6.568371,11.400053,1,"growth",0,236.902641,648.26974,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.1999","Honolua.N.1999","Honolua.N.Q1.MC.07","1999","2000",1,0,0,1,"growth",1.34802639395997,1.88226585654755,1.81717515881273,0.534239462587573,1.27166963582524
"11","Ma","HonN","03m","Q1","MC","08",3,"S","S",1999,2.341107,9.496322,2000,8.136742,12.501174,1,"growth",0,236.902641,648.26974,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.1999","Honolua.N.1999","Honolua.N.Q1.MC.08","1999","2000",1,0,0,1,"growth",0.850623894427079,2.09638985419451,0.72356100977029,1.24576595976744,1.27166963582524
"12","Ma","HonN","03m","Q1","MC","09",3,"S","S",1999,19.712984,25.19707,2000,26.390012,24.735448,1,"growth",0,236.902641,648.26974,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.1999","Honolua.N.1999","Honolua.N.Q1.MC.09","1999","2000",1,0,0,1,"growth",2.98127750493637,3.27298560523283,8.88801556143965,0.291708100296451,1.27166963582524
"83","Ma","HonN","03m","Q2","MC","03",3,"S","S",1999,0.774291,5.396672,2000,0.292006,2.506426,1,"growth",0,44.688696,454.612746,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.1999","Honolua.N.1999","Honolua.N.Q2.MC.03","1999","2000",1,0,0,1,"growth",-0.255807507058794,-1.23098092897976,0.0654374806676348,-0.975173421920962,-0.571478167827497
"86","Ma","HonN","03m","Q2","MC","06",3,"S","S",1999,5.057089,10.935371,2000,3.657237,10.698756,1,"growth",0,44.688696,454.612746,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.1999","Honolua.N.1999","Honolua.N.Q2.MC.06","1999","2000",1,0,0,1,"growth",1.62079102131019,1.29670794428638,2.62696353475974,-0.324083077023814,-0.571478167827497
"92","Ma","HonN","03m","Q2","MC","12",3,"S","S",1999,2.808015,9.875313,2000,3.047881,7.714827,1,"growth",0,44.688696,454.612746,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.1999","Honolua.N.1999","Honolua.N.Q2.MC.12","1999","2000",1,0,0,1,"growth",1.03247782802964,1.11444659506749,1.0660104653728,0.0819687670378518,-0.571478167827497
"94","Ma","HonN","03m","Q2","MC","14",3,"S","S",1999,8.186919,23.777818,2000,6.479227,17.801346,1,"growth",0,44.688696,454.612746,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.1999","Honolua.N.1999","Honolua.N.Q2.MC.14","1999","2000",1,0,0,1,"growth",2.1025376366114,1.86860121312509,4.42066451336745,-0.233936423486305,-0.571478167827497
